Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes.
Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes. 

Please share what your organizational plan is to comply with this new law.","If you'd like to be contacted with questions about this job posting, please share the Slack handle(s) of who to reach out to",What type of role is this?,Visa sponsorship,Hiring process,,Comp low,Comp high
4/10/2025 12:38:15,https://job-boards.greenhouse.io/changeorg58/jobs/6516333003,Looking for Ruby on Rails expert,,$170K - $200K Senior vs Staff,Change.org,Staff/Senior Software Engineer,Fully remote,,"Unlimited vacation, Health + benefits package",,,Full-time,,,,,
4/8/2025 14:07:15,https://commonsku.bamboohr.com/careers/65,"It's a remote position, but looking for candidates based in BC or Alberta at first",,"$50,000 to $52,000 + bonus",commonsku,Customer Support Representative,Fully remote,,"Health benefits coverage, a group RRSP plan with employer contributions, annual office closure between December 25 and January 1",,@dodo,Full-time,,,,,
4/8/2025 14:04:40,https://commonsku.bamboohr.com/careers/64,,,"$135,000 to $160,000",commonsku,Software Engineer III,Fully remote,,"Health benefits coverage, a group RRSP plan with employer contributions of $3,000 a year, annual office closure between December 25 and January 1",,@dodo,Full-time,,,,,
4/8/2025 14:03:42,https://commonsku.bamboohr.com/careers/63,,,"$170,000 to $190,000",commonsku,Senior Engineering Manager,Fully remote,,"Health benefits coverage, a group RRSP plan with employer contributions of $3,000 a year, annual office closure between December 25 and January 1",,@dodo,Full-time,,,,,
4/6/2025 7:41:55,https://app.dover.com/apply/db71ac55-229b-4636-87ee-af438c87de69/f4143e70-4cfa-4136-bdd4-7831428b2958,"At Tenor, we’re on a mission to transform leadership development - making every manager more effective, at the world's largest companies, through the power of AI. We're based in San Francisco, have a global team, and would love to hire in Victoria (one of the co-founders lived in Victoria for a while!)

Management is the most important activity at a company for organizational performance, employee experience, and retention. And when managers get better, the business does too.

That’s why we built Tenor, the AI for leadership development. Our platform lets managers practice hard conversations - like feedback, performance reviews, terminations, or compensation changes - with realistic voice AI characters. Then we give them instant feedback to help them improve.

We’re backed by great investors and our enterprise customers include major name-brand companies.

We're looking for a:

👩‍💻 Full-stack web developer with 5+ years of experience (mid-to-senior level).

⚡️ Should have at least 1–2 years of serious TypeScript/JavaScript experience, and be comfortable working in our NextJS stack.

🙌 Must be a great culture fit – kind, thoughtful, collaborative, and generally someone you’d be thrilled to work with.",,$110 - $160k CAD,Tenor,Senior Software Engineer,Fully remote,,"We pay our employees fairly, with strong compensation packages

We offer great healthcare benefits, a learning and development stipend, a home office stipend, generous paid time off, and commuter benefits

You get to work with great people on a high-performing team, that genuinely cares about each other.",,,Full-time,,,,,
3/28/2025 11:09:44,https://oceanaid.ca/careers,"This is different from your typical tech job. You'll play a key part in developing and enhancing Ocean AID’s software and hardware from its MVP stage to a universally adopted, industry-defining, application that is responsive to rapidly evolving customer needs. Your work will directly impact Ocean AID’s products. 

Our mission at Ocean AID is to provide fast and accurate detections of underwater objects to help create cleaner, healthier, and safer ocean ecosystems. We have a research and development project and are looking to hire a full-time experienced Software Engineer.
",,"$85,000 to $91,000",Ocean AID,Lead Software Engineer,Flexible remote/office hybrid schedule,,"Why join our great team?

Competitive hourly rate, Flexible remote work arrangement, Professional development opportunities, Potential for salary adjustments based on performance, Shares - employee option pools, and much more!",,,Full-time,,,,,
3/28/2025 10:55:13,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d9352578-51ba-4a29-8d08-8a671bb52cf1&ccId=19000101_000001&jobId=569140&lang=en_CA,"Part of the Redbrick portfolio of companies, Paved is a newsletter advertising platform connecting publishers and advertisers. Paved’s premium marketplace gives publishers the ability to monetize their newsletter subscription base through relevant ad placements seamlessly integrated with top email service providers like Mailchimp, Kit, and Beehiiv. Brands, meanwhile, gain a direct line to targeted audiences through dedicated emails, sponsored placements, and blog integrations alongside trusted publishers. Redbrick is proud to be B Corp Certified and has been named one of Canada’s Top Small and Medium Employers for five years running",,"$80,000 - $100,000",Paved / Redbrick,Product Manager ,Fully remote,,"- Remote company but option to work in beautiful downtown Victoria office
- Generous extended health, dental and vision
- Access to virtual health care and mental health care
- 3 weeks vacation + 2 days that extend summer long weekends + Limited working
@ Christmas
- Generous RRSP matching
- Professional development budget
- Monthly health & wellness budget
- Paid parental leave",,,Full-time,,,,,
3/28/2025 10:35:11,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d9352578-51ba-4a29-8d08-8a671bb52cf1&ccId=19000101_000001&jobId=569137&lang=en_CA,"Part of the Redbrick portfolio of companies, Paved is a newsletter advertising platform connecting publishers and advertisers. Paved’s premium marketplace gives publishers the ability to monetize their newsletter subscription base through relevant ad placements seamlessly integrated with top email service providers like Mailchimp, Kit, and Beehiiv. Brands, meanwhile, gain a direct line to targeted audiences through dedicated emails, sponsored placements, and blog integrations alongside trusted publishers. Redbrick is proud to be B Corp Certified and has been named one of Canada’s Top Small and Medium Employers for five years running.",,"$110,000 - $130,000 ",Paved / Redbrick,Lead Software Developer ,Fully remote,,"- Remote company but option to work in beautiful office in downtown Victoria 
- Generous extended health, dental and vision
- Access to virtual health care and mental health care
- 3 weeks vacation + 2 days that extend summer long weekends + Limited working
@ Christmas
- Generous RRSP matching
- Professional development budget
- Monthly health & wellness budget
- Paid parental leave",,,Full-time,,,,,
2/25/2025 10:36:08,https://jobs.ashbyhq.com/flashpoint.io/d06b84d5-ba29-411b-8b75-ca8267deab97,"Hello YYJ Tech! Flashpoint is the pioneering leader in threat data and intelligence. We empower commercial enterprises and government agencies to decisively confront complex security challenges, reduce risk, and improve operational resilience amid fast-evolving threats. Learn more at flashpoint.io.

While this position is remote-first, there is an awesome office in Victoria open to you as well.",,"$68,400/yr - 77,500/yr CAD plus bonus",Flashpoint,Technical Writer,Fully remote,,,,@Grace Tilmont,Full-time,,,,,
2/24/2025 18:19:05,https://boiled-sneezeweed-9c6.notion.site/Careers-1a5e3fe0587380a48d06c4afa941137a,Mature and impact-driven company in the behavioural health space! Non-toxic work environment.,,$90K-$150K,Logicopolis,Product Engineer,Fully remote,,These are contract consulting positions that pay on an hourly basis based on a 40-hour work week with statutory holidays and 5-weeks of vacation being taken off.,,@Sven (he/him),Contract,,,,,
2/24/2025 14:57:49,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Gameplay-Engineer-American-Football/205912,"Electronic Arts creates next-level entertainment experiences that inspire players and fans around the world. Here, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen.

EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs, and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sport through industry-leading sports video games, including Madden NFL football, EA Sports FC soccer, NHL® hockey, and EA SPORTS UFC.",,"$79,900 - $111,900 CAD",Electronic Arts,Gameplay Engineer,Fixed office/hybrid schedule,,"
+ Bonus
+ Stock
+ RSP Matching
+ ESPP

3 weeks vacation to start (scales up to 5 weeks)
holiday office shut-down
10 sick days
12 weeks maternity top-up
4 weeks paternity top-up
extended health/dental/vision
fitness perk
gaming perks
.. and more",,@curtis,Full-time,,,,,
2/24/2025 14:35:56,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Audio-Engineer-American-Football/205888,"Electronic Arts creates next-level entertainment experiences that inspire players and fans around the world. Here, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen.

EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs, and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sport through industry-leading sports video games, including Madden NFL football, EA Sports FC soccer, NHL® hockey, and EA SPORTS UFC.",,"$115,100 - $161,200 CAD",Electronic Arts,Advanced Audio Software Engineer,Fixed office/hybrid schedule,,"+ Bonus
+ Stock
+ RSP Matching
+ ESPP

3 weeks vacation to start (scales up to 5 weeks)
holiday office shut-down
10 sick days
12 weeks maternity top-up
4 weeks paternity top-up
extended health/dental/vision
fitness perk
gaming perks
.. and more",,@curtis,Full-time,,,,,
2/24/2025 14:30:15,https://jobs.ea.com/en_US/careers/JobDetail/Systems-Software-Engineer-American-Football/207708,"Electronic Arts creates next-level entertainment experiences that inspire players and fans around the world. Here, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen.

EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs, and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sport through industry-leading sports video games, including Madden NFL football, EA Sports FC soccer, NHL® hockey, and EA SPORTS UFC.",,"$96,400 - $133,900 CAD",Electronic Arts,Systems Software Engineer,Fixed office/hybrid schedule,,"+ Bonus
+ Stock
+ RSP Matching
+ ESPP

3 weeks vacation to start (scales up to 5 weeks)
holiday office shut-down
10 sick days
12 weeks maternity top-up
4 weeks paternity top-up
extended health/dental/vision
fitness perk
gaming perks
.. and more",,@curtis,Full-time,,,,,
2/21/2025 14:55:42,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/11869,,,"$72,242.00 - $93,951.00",University of Victoria,Programmer/Consultant,Fully in-office,,,,,Full-time,,,,,
2/19/2025 10:08:26,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Game-Modes-Software-Engineer-American-Football/205621,"Electronic Arts creates next-level entertainment experiences that inspire players and fans around the world. Here, everyone is part of the story. Part of a community that connects across the globe. A place where creativity thrives, new perspectives are invited, and ideas matter. A team where everyone makes play happen.

EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs, and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sport through industry-leading sports video games, including Madden NFL football, EA Sports FC soccer, NHL® hockey, and EA SPORTS UFC.",,"$133,400 - $193,200 CAD",Electronic Arts,Senior Game Modes Software Engineer,Fixed office/hybrid schedule,,"+ Bonus
+ Stock
+ RSP Matching
+ ESPP

3 weeks vacation to start (scales up to 5 weeks)
holiday office shut-down
10 sick days
12 weeks maternity top-up
4 weeks paternity top-up
extended health/dental/vision
fitness perk
gaming perks
.. and more
",,@curtis,Full-time,,,,,
2/18/2025 13:17:11,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d9352578-51ba-4a29-8d08-8a671bb52cf1&ccId=19000101_000001&jobId=565650&lang=en_CA,"
Redbrick builds and acquires software companies that help digital entrepreneurs thrive. Through results-driven marketing and a unique shared services team, Redbrick and its portfolio of companies—Animoto, Delivra, Leadpages, and Shift—inspire innovation, encourage sustainable business, and support thousands of entrepreneurs with technology that gives them a competitive edge. Redbrick is proud to be B Corp Certified and has been named one of Canada’s Top Small and Medium Employers for five years running.",,"$105,000 - $125,000",Redbrick,Senior IT Manger ,Fully in-office,,"- Mostly in-office but some opportunity to work from home when needed
- Generous extended health, dental and vision
- Access to virtual health care and mental health care
- 3 weeks vacation + 2 days that extend summer long weekends + Limited working 
@ Christmas 
- Generous RRSP matching
- Professional development budget
- Monthly health & wellness budget
- Paid parental leave",,,Full-time,,,,,
2/13/2025 9:08:07,https://pixelunion.bamboohr.com/careers/35,"Pixel Union is a longstanding Shopify partner known for creating premium themes for the world's best brands and creators. Pixel Union’s expertise in design and development has factored significantly into the growth of platforms like Shopify, BigCommerce and Tumblr, establishing our reputation as a world-class partner for brands and platforms alike. Since 2009, Pixel Union’s digital products have been used by millions of people and organizations around the world, including MoMA, the LA Lakers, the BBC, and more. For more information about our company, please visit: www.pixelunion.net.",,"$97,000 - $125,000 CAD",Pixel Union,Full Stack Software Developer,Fully remote,,"● Flexible work schedule with a fully remote culture and systems

● Free themes for employees

● $150 work from home allowances each quarter

● $1000 annual Health & Wellness spending account

● $500 yearly towards professional development goals

● 3 weeks of paid vacation

● Yearly 2 paid days volunteer work time off

● Retirement (RRSP) with employer matching of up to 4%

● Employee Share Purchase Plan",,,Full-time,,,,,
2/12/2025 12:21:37,https://jobs.ashbyhq.com/flashpoint.io/c96a5864-5ad2-464c-8bb7-ca97718844a1?embed=js,"Hello YYJ Tech! Flashpoint is the pioneering leader in threat data and intelligence. We empower commercial enterprises and government agencies to decisively confront complex security challenges, reduce risk, and improve operational resilience amid fast-evolving threats. Learn more at flashpoint.io. 

We're thrilled to be expanding our Customer Success team! While this position is remote-first, there is an awesome office in Victoria open to you as well.

Feel free to reach out to me with any questions. ",,"78,600- 92,000 CAD per year plus bonus",Flashpoint,Associate Customer Success Manager,Fully remote,,,,@Grace Tilmont,Full-time,,,,,
2/7/2025 8:12:59,https://marinelabs.io/careers/,"MarineLabs is a fast moving Coastal Intelligence data company that owns and operates a growing fleet of super rugged and rapidly deployable ocean weather instruments, producing reliable high-resolution data products in real-time to benefit marine safety and climate resilience. 
MUST LOVE THE OCEAN!",,65K+,MarineLabs ,Data Scientist (Internship),Fully remote,,,,,Paid internship,,,,,
2/7/2025 8:11:16,https://marinelabs.io/,"MarineLabs is a fast moving Coastal Intelligence data company that owns and operates a growing fleet of super rugged and rapidly deployable ocean weather instruments, producing reliable high-resolution data products in real-time to benefit marine safety and climate resilience. 
MUST LOVE THE OCEAN!",,85-105k/yr,MarineLabs,Firmware Developer,Fixed office/hybrid schedule,,"Health Benefits, Parental leave top ups, stock options",,,Full-time,,,,,
1/31/2025 9:09:52,https://posit.co/job-detail/?gh_jid=6336296003,"Posit PBC is an open source data science company. We are a fully remote company and have 2 offsites per year. 

Happy to answer questions about the company. ",,131k - 171k - this is in USD locale. There are some adjustments to Victoria / Canadians. ,Posit PBC,"Senior Software QA Engineer, Platform",Fully remote,,,,@SteveW,Full-time,,,,,
1/23/2025 15:54:36,https://fa-exby-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1013/job/41,,,"$88,700.23 to $125,700.07 per annum",BC Pension Corporation,Technical Integration Lead,Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
12/19/2024 10:12:40,https://careers.deloitte.ca/job/Toronto%2C-Ontario%2C-Canada-Cloud-Engineer-Deloitte-Global-Technology-ON/1243252900/,For the most part this is a super chill kind or organization. I work fully remotely. ,,85-156K - in the job posting. ,Deloitte Global,Cloud engineer ,Flexible remote/office hybrid schedule,,"We get fixed flex days over the year, which includes time off over Christmas. Role is not with Deloitte in a consulting sense, we support the cloud environments that the Deloitte member firms use. ",,@Colleen,Full-time,,,,,
11/12/2024 13:20:33,https://ea.avature.net/en_US/internalcareers/JobDetail/Development-Manager/206492,"Are you a project manager in the games industry? Or are you looking to join the games industry? I have the job posting for you! 

Electronic Arts is hiring a Development Manager in Victoria, this is a great role for project managers with 3+ years of experience. We value working hard and playing hard. You'll be working with passionate and talented professionals from a variety of business functions. 

Please reach out to Alex Gerenda if you have any questions about this role :) (Or others! We're hiring for multiple functions in the Victoria office so please check out other postings too.)",,"$96,400 - $133,900 CAD",Electronic Arts,Development Manager (Project Manager) ,Fixed office/hybrid schedule,,"Various benefits are available, please check the posting for more information. ",,@Alex Gerenda,Full-time,,,,,
10/21/2024 13:30:39,https://www.linkedin.com/hiring/jobs/4054742526/detail/,Locally owned Canadian tech startup FTW https://circlbrain.com/,,$50 to $75 hour,Circl Brain Health Metrics Inc.,Business Development Representative - First Responder Accounts,Fully remote,,,,@paulhill,Contract,,,,,
9/17/2024 13:26:14,https://marinelabs.io/careers/,"MarineLabs is a rapidly scaling technology company based in Victoria, BC, Canada. Our work spans many disciplines and domains! If you are talented, collaborative, and passionate about applying your skills toward data-enabled maritime safety and resilient coastlines, we’d love to hear from you. ",,85-130k/year ,MarineLabs Datasystems ,Full-Stack developer ,Fixed office/hybrid schedule,,"PTO (3 weeks), +1 week company summer event offsite, stock options, health benefits ",,@jennifermcpherson,Full-time,,,,,
9/17/2024 13:24:07,https://marinelabs.io/careers/,"MarineLabs is a rapidly scaling technology company based in Victoria, BC, Canada. Our work spans many disciplines and domains! If you are talented, collaborative, and passionate about applying your skills toward data-enabled maritime safety and resilient coastlines, we’d love to hear from you. ",,80-100k / yr ,MarineLabs Data Systems ,Field Engineer/Technician ,Fixed office/hybrid schedule,,"PTO (3 weeks), Stock Options, Company 1 week Summer Event offsite, health benefits. ",,@jennifermcpherson,Full-time,,,,,
9/5/2024 21:17:59,https://workday.wd5.myworkdayjobs.com/en-US/Workday/details/Senior-Software-Development-Engineer---Media-Cloud_JR-0091393?source=Careers_Website&locations=94e1ff8265501022d0b83314f92ca891,,,"127,000.00 - 158,700.00",Workday,Senior Software Development Engineer,Flexible remote/office hybrid schedule,,"New Hire Stock Grant, Employee Stock Purchase Program, Yearly Bonus. Stock refreshes",,@Rizwan Bashir ,Full-time,,,,,
8/22/2024 15:35:12,https://careers.canny.io/o/content-marketing-manager,,,"90,000 - 110,000",Canny,Content marketing manager,Fully remote,,"Annual bonus, 4 weeks of vacation, benefits, international team retreats. ",,,Full-time,,,,,
8/19/2024 18:04:41,https://workday.wd5.myworkdayjobs.com/Workday/job/Canada-BC-Victoria/Software-Development-Engineer-in-Test--SDET-_JR-0089888,,,"$90,400 - $135,600",Workday,Software Development Engineer in Test (SDET),Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
8/9/2024 15:33:21,https://app.dover.com/apply/Speaksage/1fcfa2cc-3a71-4586-bed6-4f4a7117da8c/?rs=76643084,"At Speaksage, we’re on a mission to transform leadership development—making every manager more effective at the world's largest companies through the power of AI.

Speaksage was founded by former Workday leaders, with successful prior exits, and were backed by top-tier investors.

We’re a team of good-hearted people building an excellent product that makes a big impact. We’re a people-first company: we strive to be a great place to work for our employees and a valued partner for our customers.",,"$75,000 - $95,000, plus equity",Speaksage,Customer Success Manager (Founding),Fully remote,,"- We offer competitive compensation packages.
- Comprehensive healthcare benefits, a learning and development stipend, a home office stipend, generous paid time off, and commuter benefits.
- You’ll work with great people on a high-performing team that genuinely cares about each other.",,@James Cross,Full-time,,,,,
8/8/2024 13:44:47,https://boards.greenhouse.io/changeorg58/jobs/6054335003,"We recently renamed our devops team to ""Production Engineering"" but don't be confused, it's a devops role for all AWS production infrastructure ",,"$225000 in Victoria, but varies with location ",Change.org,Sebior Staff Production Engineer ,Fully remote,,"It's an individual contributor role, so it's unionized with all that entails in terms of protection and benefits. As a result there's a generally decent vacation policy enforced by collective bargaining agreement with the standard stats plus a minimum of 5 additional ""recharge"" days, then an unlimited PTO plan with a minimum of two weeks, but you'll certainly be able to take more than the minimum. It's annoyingly complicated to describe, but I'm happy to explain in detail mynown experiences. On-call is also compensated in addition to salary.",,@Will,Full-time,,,,,
8/8/2024 12:36:00,https://commonsku.bamboohr.com/careers/40,,,"$120,000 to $140,000 CAD",Commonsku,DevOps Engineer,Fully remote,,,,@Dodo,Full-time,,,,,
8/7/2024 15:50:55,https://workday.wd5.myworkdayjobs.com/Workday/job/Canada-BC-Victoria/Software-Developer-Engineer--DevOps-SRE---Workday-Everywhere_JR-0090391,,,"$100,400 - $150,600 CAD",Workday,"Software Development Engineer, DevOps/SRE",Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
8/1/2024 11:35:23,https://wallop.bamboohr.com/careers/78,,,"$72,000 - $88,000",Wallop,Project Manager,Fully remote,,,,,Full-time,,,,,
7/29/2024 18:14:31,https://www.linkedin.com/jobs/view/3980063718/,This is a great opportunity to be the first marketing hire at a very well established SaaS company. Been in operation since about 2007. Lots of opportunity for growth if you can show results in the first year. Have some budget allocated and a few established relationships with specialist contractors to help out.,,"68,000-78,000 (OTE $90k)",FlexiBake,Marketing Manager / Head of Demand Generation,Fully remote,,,,,Full-time,,,,,
7/26/2024 12:54:08,https://www.linkedin.com/jobs/view/3975025948/?refId=CG4dZQOKS26jksh5Pb2SQA%3D%3D&trackingId=CG4dZQOKS26jksh5Pb2SQA%3D%3D,"We work in a boring, stodgy industry (supply chain EDI) but we're mixing things ups and having a lot of success and having a good time doing it.",,CA$160K/yr - CA$195K/yr,Orderful,Senior Software Engineer,Fully remote,,"Health and dental, unlimited vacation, equity grant",,@Piers MacDonald ,Full-time,,,,,
6/17/2024 11:26:51,https://www.bench.co/careers/job?gh_jid=6046905,"You'll be looking after our Get & Setup stream focused on the initial user journey of our customers.  Currently the stream has 8 engineers with the anticipated growth up to 12 engineers. We are in an interesting position as a company, close to the cusp of eliminating enough of our legacy technology to unlock the next stage in our growth.  You will be joining a great team culture at an exciting time in our journey.  Feel free to DM any questions.",,168k-211k,Bench Accounting,Senior Engineering Manager,Fully remote,,"We offer an extended benefits package that includes paid vacation, paid flex days, stock options, and full health, dental, and vision. 
You’ll get access to  Inkblot Therapy’s  Employee and Family Assistance Program (EAP) that offers counseling and support, for you and family members, as well as professional development coaching, financial advice, legal advice and much more.
Bench has a number of Affinity Groups - groups of people who have shared identities and experiences! The purpose of these groups is to support underrepresented Benchmates and amplify their voices.",,@David Morgantini,Full-time,,,,,
6/12/2024 10:01:37,https://makeship.bamboohr.com/careers/44?source=aWQ9MjA%3D,"We've got something special happening here! Makeship is an engaged and dynamic company with a positive mission to connect communities by bringing content to life! 

We are looking for an exceptional leader to work with our talented team of software, product, and operations professionals. Apply today!",,165-200k,Makeship,Director of Product and Technology,Fully remote,,"Work remotely anywhere in Canada and/or access any of our hubs
In-office and on-location events
Extended health and dental coverage from day 1
5 weeks of paid vacation (including paid time off on your birthday)
1 week of paid time off during the holidays
Monthly phone allowance
$400 home office setup allowance
Maternity and parental leave top-up program
Education Assistance Program
Employee referral program
Relocation allowance if relocating to Vancouver, BC",,,Full-time,,,,,
6/12/2024 9:10:44,https://easyapply.co/a/c05ba1b6-b044-4549-ab8f-b01ad05c40ea,"Having worked in tech for the past 10 years, joining Accent has been a breath of fresh air. I work for folks who genuinely care about their employees, treat them with respect and integrity, and meet them where they are. We are trying to change how hotels are run by running them right and putting our people first, knowing they will take care of our customers. ",,"$48,000 - $55,000",Accent Inns/Hotel Zed/ROAR,Awesome Accounting Technician,Fully in-office,,"Fully paid leadership development programs, Live Your Best Life (budget to spend on hobbies and continuing education), full benefits, PTO, free hotel stays at all properties + friends and family discounts. ",,@noah warder,Full-time,,,,,
5/30/2024 13:33:27,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/113693,,,"$64,123.59 - $72,674.35 annually",Royal BC Museum,Database Systems Coordinator,Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
5/30/2024 13:32:37,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/113692,,,"$64,123.59 - $72,674.35 annually",Royal BC Museum,Data Steward,Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
5/21/2024 9:12:15,https://showy-beanie-b5e.notion.site/full-stack-developer-8bf4ce2cca2c47d9bca54a14dc53d0c3,"Ruume is taking the bore out of online meetings. We’re focused on creating engaging, customized, virtual meeting spaces that users will enjoy.

This role will play a key part in the early stages of Ruume—it’s an exciting opportunity for those who like developing new products, designing from the ground-up, improving upon iterations, innovating, and critically thinking/problem solving.

They will be responsible for designing, developing, and maintaining our infrastructure, debugging and troubleshooting, bringing new ideas to the table, and have a focus on both front and backend development. They will be collaborating closely with stakeholders to ensure the platform is reliable, scalable, and secure.",,"$70,000-$100,000",Ruume,Full Stack Developer,Fully remote,,,,,Full-time,,,,,
5/17/2024 22:01:57,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/10912,"The Research Computing Services team at the University of Victoria delivers advanced computing infrastructure and services to support Canadian researchers and scientists in a dynamic and innovative environment. We are looking for someone with expertise in scientific and technical computing who has experience with Kubernetes, Openstack and other open source cloud technologies.
You must be eligible to work in Canada. Fully remote work is possible if you don't live in Victoria.",,"Starting $92,863- $102,403, up to current ceiling of $120,822",University of Victoria,Senior Scientific Computing Analyst,Fully remote,,"The job includes union membership with a robust pension plan and extended health and dental benefits. There are annual union-negotiated and performance-based salary increases (typically ~3-4% per year), up to the current ceiling for this position of $120,822 (the ceiling also increases regularly). There is a 35 hour weekly work standard to support a healthy work/life balance. Up to 29 vacation days per year are granted, with university closures (including Dec 25 through Jan 1 inclusive) as additional days off. The employer also pays 7.65% above and beyond your salary into your pension, and pays for a cell phone and mobile data. There is funding for professional development and travel/conferences.",,@rptaylor,Full-time,,,,,
5/15/2024 15:04:07,https://certn.co/careers/?utm_term=&utm_campaign=LCS+-+RTC+-+Search+-+Specifics+-+EN&utm_source=adwords&utm_medium=ppc&hsa_acc=5611481948&hsa_cam=13442922707&hsa_grp=124641685336&hsa_ad=530815647817&hsa_src=g&hsa_tgt=dsa-19959388920&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=CjwKCAjwupGyBhBBEiwA0UcqaEFu6CL2F7wDhIcvWsHgZothyIR2ar4pf4GgFSgxTzSdcOD2MK4cERoC-WEQAvD_BwE&ashby_jid=699d9291-7c60-4781-8933-56bdddec4aa8,"🚀 We're Hiring: Junior IT System Administrator at Certn!🚀

Certn, based in Victoria, BC, Canada, is looking for a proactive and enthusiastic Junior IT System Administrator to join our dynamic team. This role is crucial in supporting our IT infrastructure and ensuring seamless day-to-day operations.

As a Junior IT System Administrator at Certn, you will:
* Maintain and troubleshoot IT infrastructure, including workstations.
* Assist in the onboarding and offboarding processes, setting up and revoking access as needed.
* Provide helpdesk support to end-users, resolving issues swiftly to maintain high productivity.
* Document system configurations and contribute to IT training and resources.
* Collaborate on projects to optimize and enhance our IT environment.

Why Join Us?
* Be part of a forward-thinking company that values innovation and efficiency.
* Work in a supportive environment that encourages professional growth and development.
* Enjoy a competitive package of benefits, including:
 * Comprehensive health & dental benefits
 * 4 weeks of paid vacation
 * 12 wellness days

If you're passionate about IT and eager to make a real impact, we would love to hear from you. Check out our job posting on LinkedIn or visit our careers page at https://lnkd.in/d8HZY8js to apply.

#Hiring #JuniorITSystemAdministrator #TechJobs #ITJobs #NowHiring #JoinOurTeam #LivingTheDream #CertnCareers ",,CA$46.3K – CA$57.9K,Certn Co,Junior Systems Administrator,Fixed office/hybrid schedule,,"Some of the benefits you can expect at Certn are...

Comprehensive health & dental benefits

4 weeks of paid vacation

12 wellness days

Flex allowance

Professional development budget

And a few more goodies!",,@yaniv,Full-time,,,,,
4/18/2024 16:05:10,https://workwithpact.com/pages/senior-designer,"Work with leading US brands alongside a senior team based in Victoria, Vancouver, Montreal, New York, and Europe. Very flexible office schedule, work from home or join the team working regularly at our office in Bastion Square (moving there from our current Fort Commons location May 1).",," $80,000 - $105,000 This range may be higher or lower depending on the candidate's region and market conditions, when outside of BC.",Pact,Senior Designer,Flexible remote/office hybrid schedule,,"Half day Fridays, 2 weeks shutdown at Christmas on top of 3 weeks PTO, annual staff retreat (this year to Galiano Island!)",,,Full-time,,,,,
4/18/2024 16:02:33,https://workwithpact.com/pages/senior-developer,"Work with leading US brands alongside a senior team based in Victoria, Vancouver, Montreal, New York, and Europe. Very flexible office schedule, work from home or join the team working regularly at our office in Bastion Square (moving there from our current Fort Commons location May 1).",," $80,000 - $105,000 This range may be higher or lower depending on the candidate's region and market conditions, when outside of BC.",Pact,Senior Front End Developer,Flexible remote/office hybrid schedule,,"Half day Fridays, 2 weeks shutdown at Christmas on top of 3 weeks PTO, annual staff retreat (this year to Galiano Island!)",,,Full-time,,,,,
